Date,News,Situation
"31 Jan, 2020 07:01am",FO rejects rumours govt planning AJK-Pakistan merger,Negative
"31 Jan, 2020 07:54am",Minister sounds alarm in NA over locust threat,Negative
"31 Jan, 2020 07:23am",Uncertainty hits FBR as Shabbar proceeds on leave again,Negative
"02 Feb, 2020 09:41am",Palestinian Authority cuts all ties with Israel and US,Negative
"01 Feb, 2020 09:54pm",4 young boys who trespassed on Hindu temple in Chhachhro set free,Negative
"01 Feb, 2020 06:25pm",Apple takes smartphone sales crown from Samsung,Positive
"01 Feb, 2020 11:19pm",Parliamentarians ready draft bill seeking 100 per cent increase in their salaries,Positive
"01 Feb, 2020 06:30pm",Pakistan not joining global forum on cybercrime due to reservations by intelligence agencies: ministry,Negative
"01 Feb, 2020 01:45pm",Pakistan's first-ever all-female peacekeeping team awarded UN Medal in Congo,Positive
"01 Feb, 2020 11:23am",Update in US travel advisory for Pakistan termed as 'step in the right direction',Positive
"01 Feb, 2020 11:04am",Poor performance results in major shake-up in Customs,Negative
"01 Feb, 2020 11:07am",Engro cuts urea prices by Rs160 per bag,Positive
"01 Feb, 2020 11:11am",Hot money inflows soar to $2.9bn,Positive
"01 Feb, 2020 10:55am",Revenue shortfall rises to Rs387bn,Negative
"01 Feb, 2020 03:50pm",Pakistan’s debt surges by 40pc in 15 months,Negative
"02 Feb, 2020 06:48pm",PM Imran to depart on two-day visit to Malaysia tomorrow,Positive
"02 Feb, 2020 09:31am","Prices of Chinese ginger, garlic go up in view of coronavirus threat",Negative
"02 Feb, 2020 09:27am",Millions of phones to stop running WhatsApp: report,Negative
"02 Feb, 2020 02:17pm",FBR report finds high-ranking officials involved in large-scale corruption,Negative
"02 Feb, 2020 08:14am",World Bank plans to finance Sindh education project,Positive
"02 Feb, 2020 07:06am","January inflation surges to 14.6pc, highest in 12 years",Negative
"03 Feb, 2020 07:12pm","Stocks dive over 1,200 points as investors react to 12-year-high inflation reading",Negative
"03 Feb, 2020 09:05pm",PM Imran arrives in Malaysia on two-day official visit,Positive
"03 Feb, 2020 08:00am",KSE 100-share index fluctuations,Negative
"03 Feb, 2020 07:58am",Weekly rupee-dollar parity,Negative
"03 Feb, 2020 08:38am",Wapda to contribute Rs271bn to hydro projects from its revenue,Positive
"05 Feb, 2020 09:17am",Stocks recover 475 points on value-hunting,Positive
"05 Feb, 2020 09:21am",Opec to mull output cuts over virus outbreak,Negative
"05 Feb, 2020 09:09am",Oil sales dip 10pc,Negative
"06 Feb, 2020 03:18pm","Global stocks surge after Trump acquitted, China virus aid",Positive
"06 Feb, 2020 09:29am",Govt urged not to increase Haj expenses,Positive
"06 Feb, 2020 10:06am",Foreign driving licences are valid in Islamabad now,Positive
"06 Feb, 2020 08:34am",Hot money inflows could soar to $5bn,Negative
"07 Feb, 2020 09:35pm",Karachi jumps 22 points since last year on global crime index,Negative
"07 Feb, 2020 08:32am",Stocks dip 160 points on fiscal deficit concerns,Negative
"07 Feb, 2020 08:30am",Foreign investors see growth potential in Pakistan: survey,Positive
"08 Feb, 2020 09:21am",Global stocks take a breather after rally,Positive
"08 Feb, 2020 09:19am",Index sheds 581 points on economic uncertainty,Negative
"08 Feb, 2020 07:39am",Last two months see decline in exports,Negative
"09 Feb, 2020 08:30am","Stocks lose 1,487 points in shortened week",Negative
"09 Feb, 2020 08:10am",Currency depreciation main risk for hot money investors: JP Morgan,Negative
"10 Feb, 2020 06:20pm","Shares sink below 40,000 mark as inflation, coronavirus take toll on investor sentiment",Negative
"12 Feb, 2020 08:06am",Stocks add 418 points in lead of insurance,Positive
"12 Feb, 2020 08:03am",Import of mobile phones soars 79pc,Positive
"12 Feb, 2020 07:48am",Auto industry woes multiply as sales dip,Negative
"12 Feb, 2020 07:58am",Net power sector receivables up 27pc,Positive
"12 Feb, 2020 07:51am",Rs10bn subsidy  approved to tackle food inflation,Positive
"15 Feb, 2020 09:57am",KP eyes 5.6pc revenue jump in 2020-21,Positive
"16 Feb, 2020 08:42am",Stocks end four-week losing streak with modest gains,Positive
"18 Feb, 2020 08:39am",Stocks close flat amid muted activity,Negative
"18 Feb, 2020 08:26am","Fruit, vegetable exports hit by coronavirus",Negative
"18 Feb, 2020 08:33am",Textile exports up 3.7pc,Positive
"19 Feb, 2020 07:59am",Cotton production falls to 8.6m bales,Negative
"19 Feb, 2020 08:08am",FDI surges to $1.5bn in seven months,Negative
"19 Feb, 2020 08:05am",Total debt jumps 23.4pc,Negative
"19 Feb, 2020 08:06am",Stocks shed 101 points on economic concerns,Negative
"20 Feb, 2020 09:06am",Banks lead 399-point rally on stock market,Positive
"20 Feb, 2020 09:05am",HBL profit jumps 27pc,Positive
"20 Feb, 2020 08:44am",Current account deficit shrinks 72pc in seven months,Positive
"22 Feb, 2020 09:08am",Stocks shed 232 points on FATF decision,Negative
"22 Feb, 2020 07:14am","Gold scales new peak of Rs93,650",Negative
"23 Feb, 2020 08:19am",Local oil production dips 10pc in first half,Negative
"25 Feb, 2020 08:32am","World stocks, oil prices tumble",Negative
"25 Feb, 2020 08:04am",Private sector borrowing plummets 70pc,Negative
"25 Feb, 2020 08:01am",$700m WB loan sought for Dasu project expansion,Positive
"25 Feb, 2020 08:00am",Pakistan offers $100bn investment opportunities  in energy sector: Ayub,Positive
"25 Feb, 2020 07:42am","PSX plunges by 1,105 points over virus threat",Negative
"26 Feb, 2020 10:35am","Arctic ‘doomsday vault’ stocks up on 60,000 more food seeds",Positive
"26 Feb, 2020 08:19am","Stocks extend losses to slide below 39,000 level",Negative
"27 Feb, 2020 10:09am",Stocks plummet 520 points on coronavirus fears,Negative
"28 Feb, 2020 01:54pm",Asia stocks tumble on virus fears after Wall Street plunge,Negative
"29 Feb, 2020 10:16am",KSE-100 index loses 104 points on foreign selling,Negative
"29 Feb, 2020 10:15am",Return filers surge to 2.44m,Negative
"29 Feb, 2020 09:40am",EU to give  Pakistan €13m for financial management,Positive
